Lp.,Kolumna 1,Kolumna 2,Kolumna 3 ,Kolumna 4,Kolumna 5
37,0.27333992121344919,0.14059779029380412,0.13727114948765584,0.15136309165467859,1
38,0.24213045800118671,0.5670379865845917,0.5666247276648847,0.56600016441066681,1
39,0.24646313183359009,-0.019423169226229497,-0.038842598552733136,-0.057770231065286809,1
40,0.27728177552450067,-0.44849438497415628,-0.44717607032079226,-0.45962619650816455,1
41,0.27118199907163065,0.14115129545323071,0.14171789026169779,0.12686674845032639,1
42,0.23289290567832413,0.54878353602269203,0.55579771795853361,0.5522186339208901,1
43,0.24456700267258144,-0.016229294860349072,-0.021848494198446658,-0.015311149477651595,1
44,0.27787641958091164,-0.45254095647753173,-0.459304565131741,-0.46854959725405532,1
45,0.27633558089385929,0.14170854051238316,0.14754091413485448,0.16178245229091145,1
46,0.24698110794562103,0.57308540444129974,0.57059276127401715,0.56570471233232433,1
47,0.25261526688262204,-0.022762899681418279,-0.021324908236826916,-0.02968358412411351,1
48,0.28212120576975741,-0.43813112283381123,-0.44298738262783433,-0.43231744870996919,1
49,0.26953270329252849,0.14006672453273267,0.13885312707169262,0.12085672959087693,1
50,0.24189858421818369,0.56977559318391779,0.56958298834803622,0.56430598983485436,1
51,0.25412618637186757,-0.013906817130592931,-0.023598767270146939,-0.021743777006122709,1
52,0.2803185741018952,-0.44607840975125373,-0.44759867898981393,-0.4384134852631133,1
53,0.27154102944531278,0.16415167876724079,0.16170017449694266,0.14740253784499785,1
54,0.2457469410360888,0.55634935316809719,0.5591898070098843,0.55545364718375489,1
55,0.24791421292722193,-0.014729595070281097,-0.016227424910486142,-0.032260375035227815,1
56,0.27821301055623865,-0.43945504733676399,-0.44509294617349088,-0.45985059049171589,1
57,0.27558386104896238,0.15427834349098279,0.15497209489012898,0.17124065869759952,1
58,0.25249372014153176,0.59176994347167278,0.58588895115276529,0.58744848933844696,1
59,0.24573198143718536,-0.025863276554152322,-0.029328293650157256,-0.039841151779536503,1
60,0.27225722024281407,-0.43735322369083335,-0.44075466249149875,-0.44973416173327729,1
61,0.26252974105586446,0.15292449979022318,0.15628853959363004,0.16284458381305436,1
62,0.23666833445157504,0.57500023310093762,0.57023747080006093,0.56967274594145678,1
63,0.24676793366124727,-0.021397836281481095,-0.020722784380964213,-0.02312753990468917,1
64,0.26407805954236852,-0.45318047933065297,-0.45408740501417288,-0.46006002487636377,1
65,0.25218143851442282,0.15981713498497449,0.15875313351296866,0.16051836618357238,1
66,0.24221460574501846,0.57565845545268812,0.5651773864709787,0.56002380464875012,1
67,0.26311877526268668,-0.020223507767562533,-0.022256143268564885,-0.034107885499800331,1
68,0.27500978644104357,-0.4404349010649381,-0.44396349645628258,-0.44783803257226867,1
69,0.26337869829363358,0.14358971007448837,0.14604121434478651,0.15607910520898213,1
70,0.23862804190792322,0.57219156840682028,0.57207376156545586,0.56856947552232939,1
71,0.23613352879077773,-0.036645407463793148,-0.047309731532069535,-0.030525061562430952,1
72,0.25178687909334507,-0.47428099358392856,-0.47343390629602233,-0.45982441119363487,1
73,0.24675297406234387,0.14940151424846748,0.15450834732412291,0.14562982537494243,1
74,0.23270965059175722,0.56161887188182735,0.55798181939843305,0.54712115059454924,1
75,0.23364649547308397,-0.038335842139879749,-0.041120197485779018,-0.035712302482192253,1
76,0.26157419667590842,-0.45457920182812284,-0.45535149112151196,-0.45205289956330758,1
77,0.26156671687645672,0.15065438065662903,0.14944826299504069,0.13354994926042982,1
78,0.23680858069129462,0.5739942000746826,0.57427656250398462,0.56562243453835548,1
79,0.24350861105016439,-0.033978858959258319,-0.043696988396893316,-0.045551978660917543,1
80,0.27020588524318245,-0.44705452357970199,-0.44846633572621236,-0.44799884826048042,1
81,0.26245681301121027,0.155048762834509,0.15721603472564213,0.13282066881388802,1
82,0.23253013540491616,0.56325320806202617,0.56066332750187131,0.55436533636353102,1
83,0.24285786849786556,-0.023503399827137627,-0.031306700605134713,-0.043480074212793707,1
84,0.27381114857890693,-0.4512768703701926,-0.45550856690999791,-0.45789462293509359,1
85,0.26593117985652986,0.1580855614119035,0.16124764663011415,0.16166277549968411,1
86,0.23588856535873423,0.55871670969456366,0.56061470880543518,0.55605951093934347,1
87,0.24804136951790101,-0.034883914692915304,-0.040562952426626574,-0.051891108696242277,1
88,0.27138769355655273,-0.43846023400968648,-0.44442724402228861,-0.44999969461381301,1
89,0.26713916746798111,0.14437882891664383,0.1499494095583053,0.16600479908140209,1
90,0.241864925120651,0.56619276924654838,0.55477672533337508,0.5582099532817103,1
